DEAL_ID,FROM_CURRENCY,TO_CURRENCY,TIMESTAMP,AMOUNT
33,SAR,USD,2019/11/1 10:59,178.0
66,JOD,AED,2019/11/1 10:59,956.0
99,SAR,JOD,2018/2/02 12:10,215.0
132,SAR,AED,2019/11/19 22:50,215.0
165,AED,USD,2019/11/19 22:50,a0
198,AOA,USD,2019/11/1 10:59,178.0
231,CNY,CNY,2018/10/02 10:50,178.0
264,SAR,SAR,2018/10/02 10:50,251
297,CNY,JOD,2019/11/1 10:59,178.0
330,JOD,AOA,2019/11/1 10:59,956.0
363,USD,AED,2019/05/08 00:50,956.0
396,AOA,AED,2019/11/19 22:50,215.0
429,JOD,JOD,2018/2/02 12:10,956.0
462,SAR,JOD,2019/05/08 00:50,956.0
495,CNY,USD,2019/11/19 22:50,178.0
528,JOD,SAR,2018/10/02 10:50,251
561,AOA,CNY,2019/05/08 00:50,956.0
594,USD,SAR,2018/2/02 12:10,215.0
627,USD,AED,2018/10/02 10:50,0.0
660,AED,AED,2019/11/19 22:50,251
693,AED,USD,2018/2/02 12:10,215.0
726,CNY,SAR,2019/11/1 10:59,956.0
759,SAR,AED,2019/11/1 10:59,251
792,AOA,SAR,2018/2/02 12:10,91.0
825,CNY,AED,2019/11/19 22:50,91.0
858,CNY,AED,2019/11/19 22:50,0.5
891,AOA,CNY,2019/11/19 22:50,91.0
924,USD,USD,2019/11/19 22:50,956.0
957,CNY,CNY,2019/11/19 22:50,251
990,USD,AED,2019/11/19 22:50,91.0
1023,JOD,USD,2019/05/08 00:50,956.0
1056,USD,USD,2019/11/19 22:50,215.0
1089,SAR,AED,2018/2/02 12:10,178.0
1122,AED,USD,2019/11/19 22:50,0.5
1155,AED,JOD,2019/11/19 22:50,178.0
1188,CNY,SAR,2018/2/02 12:10,0.5
1221,JOD,USD,2019/11/1 10:59,215.0
1254,AED,JOD,2019/11/19 22:50,a0
1287,JOD,JOD,2019/05/08 00:50,91.0
1320,SAR,USD,2019/11/1 10:59,956.0
1353,AED,CNY,2018/2/02 12:10,0.5
1386,USD,JOD,2019/05/08 00:50,956.0
1419,SAR,SAR,2018/2/02 12:10,91.0
1452,SAR,CNY,2019/11/19 22:50,91.0
1485,AED,USD,2018/2/02 12:10,91.0
1518,AOA,USD,2019/11/1 10:59,91.0
1551,AOA,CNY,2019/05/08 00:50,0.5
1584,SAR,SAR,2019/11/19 22:50,215.0
1617,JOD,SAR,2018/2/02 12:10,215.0
1650,AOA,AED,2019/11/19 22:50,0.0
1683,AOA,CNY,2018/10/02 10:50,251
1716,AOA,AOA,2018/10/02 10:50,178.0
1749,USD,USD,2018/10/02 10:50,a0
1782,JOD,USD,2019/11/1 10:59,0.5
1815,JOD,SAR,2018/2/02 12:10,91.0
1848,AED,SAR,2018/10/02 10:50,956.0
1881,JOD,AOA,2019/11/1 10:59,a0
1914,JOD,JOD,2019/11/1 10:59,215.0
1947,USD,JOD,2018/2/02 12:10,956.0
1980,CNY,JOD,2018/2/02 12:10,215.0
2013,JOD,SAR,2019/11/1 10:59,251
2046,JOD,USD,2019/05/08 00:50,178.0
2079,CNY,CNY,2019/05/08 00:50,215.0
2112,USD,JOD,2018/2/02 12:10,956.0
2145,AED,JOD,2018/2/02 12:10,956.0
2178,USD,CNY,2018/2/02 12:10,251
2211,AED,CNY,2018/2/02 12:10,215.0
2244,SAR,CNY,2019/11/19 22:50,956.0
2277,SAR,AED,2018/2/02 12:10,178.0
2310,USD,JOD,2019/11/19 22:50,a0
2343,JOD,CNY,2019/11/1 10:59,91.0
2376,JOD,USD,2019/11/1 10:59,251
2409,USD,CNY,2018/2/02 12:10,0.5
2442,SAR,USD,2019/05/08 00:50,251
2475,USD,JOD,2019/05/08 00:50,178.0
2508,CNY,JOD,2018/10/02 10:50,215.0
2541,CNY,CNY,2019/11/19 22:50,178.0
2574,AOA,JOD,2019/11/1 10:59,91.0
2607,CNY,SAR,2019/11/1 10:59,215.0
2640,CNY,JOD,2019/11/19 22:50,956.0
